file,smiles,task,splitting,graphtask,class_number
bbbp,smiles,p_np,scaffold,classification,1
caco2_wang,X,y,s,regression,1
hia_hou,X,y,s,classification,1
pgp_broccatelli,X,y,s,classification,1
bioavailability_ma,X,y,s,classification,1
lipophilicity_astrazeneca,X,y,s,regression,1
solubility_aqsoldb,X,y,s,regression,1
bbb_martins,X,y,s,classification,1
ppbr_az,X,y,s,regression,1
vdss_lombardo,X,y,s,regression,1
cyp2d6_veith,X,y,s,classification,1
cyp3a4_veith,X,y,s,classification,1
cyp2c9_veith,X,y,s,classification,1
cyp2d6_substrate_carbonmangels,X,y,s,classification,1
cyp3a4_substrate_carbonmangels,X,y,s,classification,1
cyp2c9_substrate_carbonmangels,X,y,s,classification,1
half_life_obach,X,y,s,regression,1
clearance_microsome_az,X,y,s,regression,1
clearance_hepatocyte_az,X,y,s,regression,1
ld50_zhu,X,y,s,regression,1
herg,X,y,s,classification,1
ames,X,y,s,classification,1
dili,X,y,s,classification,1
