dataset,subcategory,metric,size,model,performance,std,rank_new
bioavailability_ma,Absorption,AUROC,640,MMGX_A+P,0.627,0.017,21
bioavailability_ma,Absorption,AUROC,640,MMGX_A+J,0.625,0.063,22
bioavailability_ma,Absorption,AUROC,640,MMGX_A+F,0.595,0.147,23
caco2_wang,Absorption,MAE,906,MMGX_A+P,0.383,0.029,16
caco2_wang,Absorption,MAE,906,MMGX_A+J,0.402,0.04,19
caco2_wang,Absorption,MAE,906,MMGX_A+F,0.457,0.058,21
hia_hou,Absorption,AUROC,578,MMGX_A+J,0.984,0.006,7
hia_hou,Absorption,AUROC,578,MMGX_A+P,0.98,0.009,10
hia_hou,Absorption,AUROC,578,MMGX_A+F,0.969,0.014,15
lipophilicity_astrazeneca,Absorption,MAE,4200,MMGX_A+J,0.477,0.012,4
lipophilicity_astrazeneca,Absorption,MAE,4200,MMGX_A+F,0.493,0.009,6
lipophilicity_astrazeneca,Absorption,MAE,4200,MMGX_A+P,0.5,0.023,7
pgp_broccatelli,Absorption,AUROC,1212,MMGX_A+P,0.898,0.009,10
pgp_broccatelli,Absorption,AUROC,1212,MMGX_A+F,0.891,0.009,13
pgp_broccatelli,Absorption,AUROC,1212,MMGX_A+J,0.891,0.014,13
solubility_aqsoldb,Absorption,MAE,9982,MMGX_A+J,0.78,0.009,5
solubility_aqsoldb,Absorption,MAE,9982,MMGX_A+F,0.808,0.025,9
solubility_aqsoldb,Absorption,MAE,9982,MMGX_A+P,0.809,0.02,10
bbb_martins,Distribution,AUROC,1975,MMGX_A+P,0.909,0.007,8
bbb_martins,Distribution,AUROC,1975,MMGX_A+F,0.898,0.016,14
bbb_martins,Distribution,AUROC,1975,MMGX_A+J,0.88,0.026,19
ppbr_az,Distribution,MAE,1797,MMGX_A+P,9.302,0.731,13
ppbr_az,Distribution,MAE,1797,MMGX_A+F,10.292,0.383,20
ppbr_az,Distribution,MAE,1797,MMGX_A+J,10.527,0.676,21
vdss_lombardo,Distribution,Spearman,1130,MMGX_A+P,0.556,0.046,9
vdss_lombardo,Distribution,Spearman,1130,MMGX_A+J,0.553,0.026,10
vdss_lombardo,Distribution,Spearman,1130,MMGX_A+F,0.55,0.041,11
clearance_hepatocyte_az,Excretion,Spearman,1020,MMGX_A+F,0.312,0.05,16
clearance_hepatocyte_az,Excretion,Spearman,1020,MMGX_A+P,0.305,0.021,17
clearance_hepatocyte_az,Excretion,Spearman,1020,MMGX_A+J,0.293,0.054,18
clearance_microsome_az,Excretion,Spearman,1102,MMGX_A+P,0.579,0.014,10
clearance_microsome_az,Excretion,Spearman,1102,MMGX_A+J,0.577,0.023,12
clearance_microsome_az,Excretion,Spearman,1102,MMGX_A+F,0.565,0.019,14
half_life_obach,Excretion,Spearman,667,MMGX_A+P,0.451,0.024,8
half_life_obach,Excretion,Spearman,667,MMGX_A+J,0.433,0.033,10
half_life_obach,Excretion,Spearman,667,MMGX_A+F,0.419,0.068,11
cyp2c9_substrate_carbonmangels,Metabolism,AUPRC,666,MMGX_A+J,0.375,0.026,14
cyp2c9_substrate_carbonmangels,Metabolism,AUPRC,666,MMGX_A+F,0.362,0.044,17
cyp2c9_substrate_carbonmangels,Metabolism,AUPRC,666,MMGX_A+P,0.345,0.021,21
cyp2c9_veith,Metabolism,AUPRC,12092,MMGX_A+F,0.768,0.006,9
cyp2c9_veith,Metabolism,AUPRC,12092,MMGX_A+J,0.768,0.007,9
cyp2c9_veith,Metabolism,AUPRC,12092,MMGX_A+P,0.755,0.005,13
cyp2d6_substrate_carbonmangels,Metabolism,AUPRC,664,MMGX_A+P,0.658,0.027,12
cyp2d6_substrate_carbonmangels,Metabolism,AUPRC,664,MMGX_A+F,0.639,0.047,13
cyp2d6_substrate_carbonmangels,Metabolism,AUPRC,664,MMGX_A+J,0.633,0.031,14
cyp2d6_veith,Metabolism,AUPRC,13130,MMGX_A+P,0.663,0.006,10
cyp2d6_veith,Metabolism,AUPRC,13130,MMGX_A+F,0.661,0.015,11
cyp2d6_veith,Metabolism,AUPRC,13130,MMGX_A+J,0.66,0.013,12
cyp3a4_substrate_carbonmangels,Metabolism,AUPRC,667,MMGX_A+P,0.604,0.023,15
cyp3a4_substrate_carbonmangels,Metabolism,AUPRC,667,MMGX_A+J,0.568,0.01,21
cyp3a4_substrate_carbonmangels,Metabolism,AUPRC,667,MMGX_A+F,0.565,0.028,22
cyp3a4_veith,Metabolism,AUPRC,12328,MMGX_A+J,0.869,0.006,9
cyp3a4_veith,Metabolism,AUPRC,12328,MMGX_A+F,0.866,0.007,11
cyp3a4_veith,Metabolism,AUPRC,12328,MMGX_A+P,0.86,0.005,13
ames,Toxicity,AUROC,7255,MMGX_A+F,0.835,0.003,13
ames,Toxicity,AUROC,7255,MMGX_A+J,0.835,0.003,13
ames,Toxicity,AUROC,7255,MMGX_A+P,0.831,0.003,15
dili,Toxicity,AUROC,475,MMGX_A+J,0.892,0.02,9
dili,Toxicity,AUROC,475,MMGX_A+P,0.866,0.039,16
dili,Toxicity,AUROC,475,MMGX_A+F,0.861,0.038,17
herg,Toxicity,AUROC,648,MMGX_A+F,0.834,0.021,10
herg,Toxicity,AUROC,648,MMGX_A+J,0.828,0.026,11
herg,Toxicity,AUROC,648,MMGX_A+P,0.825,0.02,12
ld50_zhu,Toxicity,MAE,7385,MMGX_A+F,0.646,0.019,14
ld50_zhu,Toxicity,MAE,7385,MMGX_A+P,0.667,0.013,18
ld50_zhu,Toxicity,MAE,7385,MMGX_A+J,0.676,0.038,22
