subcategory,dataset,metric,size,MMGX_A+F,MMGX_A+P,MMGX_A+J,AttentiveFP,Chemprop,Chemprop-RDKit,GCN
Absorption,bioavailability_ma,AUROC,640,23,21,22,15,18,16,14
Absorption,caco2_wang,MAE,906,21,16,19,18,14,11,25
Absorption,hia_hou,AUROC,578,15,10,7,13,16,8,19
Absorption,lipophilicity_astrazeneca,MAE,4200,6,7,4,17,3,2,14
Absorption,pgp_broccatelli,AUROC,1212,13,10,13,12,17,15,11
Absorption,solubility_aqsoldb,MAE,9982,9,10,5,4,13,2,14
Distribution,bbb_martins,AUROC,1975,14,8,19,22,26,20,23
Distribution,ppbr_az,MAE,1797,20,13,21,14,5,9,19
Distribution,vdss_lombardo,Spearman,1130,11,9,10,21,15,19,18
Excretion,clearance_hepatocyte_az,Spearman,1020,16,17,18,19,9,10,15
Excretion,clearance_microsome_az,Spearman,1102,14,10,12,22,16,6,18
Excretion,half_life_obach,Spearman,667,11,8,10,22,15,16,16
Metabolism,cyp2c9_substrate_carbonmangels,AUPRC,666,17,21,14,14,11,9,22
Metabolism,cyp2c9_veith,AUPRC,12092,9,13,9,16,14,8,19
Metabolism,cyp2d6_substrate_carbonmangels,AUPRC,664,13,12,14,17,15,8,16
Metabolism,cyp2d6_veith,AUPRC,13130,11,10,12,14,13,8,17
Metabolism,cyp3a4_substrate_carbonmangels,AUPRC,667,22,15,21,20,16,12,17
Metabolism,cyp3a4_veith,AUPRC,12328,11,13,9,15,12,7,17
Toxicity,ames,AUROC,7255,13,15,13,19,10,6,18
Toxicity,dili,AUROC,475,17,16,9,12,8,10,19
Toxicity,herg,AUROC,648,10,12,11,12,22,8,19
Toxicity,ld50_zhu,MAE,7385,14,18,22,23,5,9,16
